fid,alignment,distance,angle,elev_1,quatbase_1,overburden_m,fid_2,ID,SYMBOL,EINHEIT,GRUPPE,SUBGRUPPE,LITHO_SYMB,LITHOLOGIE,LITHOLOG_1,SYSTEM,SERIE1,SUBSERIE1,STUFE1,SUBSTUFE1,SERIE2,SUBSERIE2,STUFE2,SUBSTUFE2,BEARBEITUN,AENDERUNGS,AKTUALISIE,GE_NR,Shape_Leng,Shape_Area
"1",alignment,2680,179.574544110743,288.75,254.549743652344,34.2002563476563,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"2",alignment,2690,179.574544110743,286.929992675781,254.735366821289,32.1946258544922,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"3",alignment,2700,179.574544110743,285.040008544922,254.920974731445,30.1190338134766,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"4",alignment,2720,179.574544110743,284.779998779297,255.291442871094,29.4885559082031,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"5",alignment,2710,179.574544110743,284.890014648438,255.106582641602,29.7834320068359,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"6",alignment,2730,179.574544110743,283.459991455078,255.474578857422,27.9854125976563,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"7",alignment,2740,179.574544110743,282.029998779297,255.65771484375,26.3722839355469,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"8",alignment,2750,179.574544110743,281.369995117188,255.840866088867,25.5291290283203,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"9",alignment,2760,179.574544110743,280.559997558594,256.023986816406,24.5360107421875,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"10",alignment,2770,179.574544110743,279.690002441406,256.207122802734,23.4828796386719,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"11",alignment,2780,179.574544110743,278.839996337891,256.390258789063,22.4497375488281,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"12",alignment,2790,179.574544110743,278.160003662109,256.573394775391,21.5866088867188,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"13",alignment,2800,179.574544110743,277.640014648438,256.767761230469,20.8722534179688,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"14",alignment,2810,179.574544110743,276.329986572266,256.764068603516,19.56591796875,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"15",alignment,2820,179.574544110743,276.220001220703,256.582611083984,19.6373901367188,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"16",alignment,2830,179.574544110743,276.040008544922,256.401184082031,19.6388244628906,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"17",alignment,2840,179.574544110743,275.149993896484,256.2197265625,18.9302673339844,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"18",alignment,2850,179.574544110743,275.329986572266,256.038299560547,19.2916870117188,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"19",alignment,2860,179.574544110743,273.329986572266,255.856842041016,17.47314453125,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"20",alignment,2870,179.574544110743,273.410003662109,255.675399780273,17.7346038818359,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"21",alignment,2880,179.574544110743,271.769989013672,255.493957519531,16.2760314941406,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"22",alignment,2890,179.574544110743,271.440002441406,255.312515258789,16.1274871826172,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"23",alignment,2900,179.574544110743,271.459991455078,255.281875610352,16.1781158447266,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"24",alignment,2910,179.574544110743,271.420013427734,255.402206420898,16.0178070068359,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"25",alignment,2920,179.574544110743,271.420013427734,255.518402099609,15.901611328125,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"26",alignment,2930,179.574544110743,271.380004882813,255.631149291992,15.7488555908203,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"27",alignment,2940,179.574544110743,271.529998779297,255.749908447266,15.7800903320313,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"28",alignment,2950,179.574544110743,271.200012207031,256.028900146484,15.1711120605469,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"29",alignment,2960,179.574544110743,271.410003662109,256.356201171875,15.0538024902344,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"30",alignment,2970,179.574544110743,271.660003662109,256.683532714844,14.9764709472656,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"31",alignment,2980,179.574544110743,272.100006103516,257.010833740234,15.0891723632813,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"32",alignment,2990,179.574544110743,272.140014648438,257.338134765625,14.8018798828125,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"33",alignment,3000,179.574544110743,272.359985351563,257.665466308594,14.6945190429688,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"34",alignment,3010,179.574544110743,272.519989013672,257.992767333984,14.5272216796875,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"35",alignment,3020,179.574544110743,272.329986572266,258.320098876953,14.0098876953125,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"36",alignment,3030,179.574544110743,272.359985351563,258.647399902344,13.7125854492188,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"37",alignment,3040,179.574544110743,272.230010986328,258.974731445313,13.2552795410156,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"38",alignment,3050,179.574544110743,272.239990234375,259.302032470703,12.9379577636719,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"39",alignment,3060,179.574544110743,272.220001220703,259.629364013672,12.5906372070313,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"40",alignment,3070,179.574544110743,272.260009765625,259.931823730469,12.3281860351563,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"41",alignment,3080,179.574544110743,272.429992675781,260.259124755859,12.1708679199219,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"42",alignment,3090,179.574544110743,272.649993896484,260.586456298828,12.0635375976563,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"43",alignment,3100,179.574544110743,272.720001220703,260.913757324219,11.8062438964844,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"44",alignment,3110,179.574544110743,272.440002441406,261.241088867188,11.1989135742188,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"45",alignment,3120,179.574544110743,272.440002441406,261.568389892578,10.8716125488281,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"46",alignment,3130,179.574544110743,272.869995117188,261.895721435547,10.9742736816406,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"47",alignment,3140,179.574544110743,275.720001220703,262.223022460938,13.4969787597656,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"48",alignment,3150,179.574544110743,275.640014648438,262.550354003906,13.0896606445313,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"49",alignment,3160,179.574544110743,275.820007324219,262.877655029297,12.9423522949219,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"50",alignment,3170,179.574544110743,275.790008544922,263.204956054688,12.5850524902344,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"51",alignment,3180,179.574544110743,276.029998779297,263.532287597656,12.4977111816406,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"52",alignment,3190,179.574544110743,276.140014648438,263.859588623047,12.2804260253906,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"53",alignment,3200,179.574544110743,276.079986572266,264.162048339844,11.9179382324219,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"54",alignment,3210,179.574544110743,276.130004882813,264.489379882813,11.640625,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"55",alignment,3220,179.574544110743,276.130004882813,264.816680908203,11.3133239746094,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"56",alignment,3230,179.574544110743,277.839996337891,265.144012451172,12.6959838867188,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"57",alignment,3240,179.574544110743,279.089996337891,265.471313476563,13.6186828613281,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"58",alignment,3250,179.574544110743,280.399993896484,265.798645019531,14.6013488769531,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"59",alignment,3260,179.574544110743,282.350006103516,266.125946044922,16.2240600585938,"3","9101",dfrsf+fafs,Schmidthof-Formation (Frasnes-Schiefer) und Famenne Schiefer,"-","-",Tst,Tonstein,"Tonstein; untergeordnet Kalkmergel- bis Mergelkalkstein und Kalkstein",Devon,Oberdevon,"-",Frasnium,"-",Oberdevon,"-",Famennium,"-",2010/07/29,2020/08/04,2021/02/26,"464800",15529.3882032,2394849.54052
"60",alignment,700,179.574544110743,258.329986572266,251.994720458984,6.33526611328125,"4","9097",ctmk,"Hastière-Formation, Pont d´Arcole-Formation und Vesdre-Formation (Mittlerer Kohlenkalk)",Kohlenkalk-Gruppe,"-",Dst,Dolomitstein,Dolomitstein,Karbon,Dinantium (Unterkarbon),"-",Tournaisium,"-","-","-","-","-",2010/07/29,2020/08/04,2021/02/26,"429300",30707.2255026,3746432.23328
"61",alignment,710,179.574544110743,259.230010986328,252.819473266602,6.41053771972656,"4","9097",ctmk,"Hastière-Formation, Pont d´Arcole-Formation und Vesdre-Formation (Mittlerer Kohlenkalk)",Kohlenkalk-Gruppe,"-",Dst,Dolomitstein,Dolomitstein,Karbon,Dinantium (Unterkarbon),"-",Tournaisium,"-","-","-","-","-",2010/07/29,2020/08/04,2021/02/26,"429300",30707.2255026,3746432.23328
